$	~⟨,SI^F⟩⟨,DOL^R⟩
懈	~⟨HNDS⟩
應	~⟨IA⟩⟨LSE⟩⟨LPVH⟩⟨LHA^V⟩
懊	~⟨HD⟩⟨HPND⟩⟨HPOB⟩
懋	~⟨TMTH⟩
懌	~⟨HFY⟩⟨HFYG⟩⟨HCN^R⟩
懍	~⟨HLOH⟩
懎	~⟨HWOO^V⟩
懏	~⟨HVM⟩⟨HVU^V⟩
懐	~⟨HJFK⟩⟨HLFK^V⟩
懑	~⟨WRNH⟩⟨MHA^R⟩
懒	~⟨HBV⟩⟨HJCB⟩⟨HJCT⟩⟨HVSB⟩⟨HVST⟩
懓	~⟨HENP⟩⟨HHX^R⟩
懔	~⟨HLOH⟩
懕	~⟨YHA^S⟩⟨LDUH^R⟩
懖	~⟨AGOH⟩
懗	~⟨HYFF⟩
懘	~⟨WFNH^V⟩
懙	~⟨HEA⟩
懚	~⟨HEIH^V⟩
懛	~⟨HTE⟩⟨HYOP⟩
懜	~⟨HRFC⟩
懝	~⟨HFVZ⟩
懞	~⟨HRNQ⟩
懟	~⟨FAH⟩⟨UAH⟩⟨FEBH⟩⟨AHA^V⟩
懠	~⟨HWH⟩
懡	~⟨HLTU⟩⟨HLTW⟩
懢	~⟨HRVF⟩
懣	~⟨WRNH⟩⟨MHA^R⟩
懤	~⟨HYYA⟩
懥	~⟨HJNZ^V⟩
懦	~⟨HUR⟩⟨HUTR⟩
懧	~⟨HNT⟩⟨HNHT⟩
懨	~⟨HYN⟩⟨HLAD⟩⟨HLDD⟩
懩	~⟨HBHA⟩⟨HBHK⟩⟨HBKX⟩
懪	~⟨HDRW⟩
懫	~⟨HKKB⟩
懬	~⟨LKH⟩⟨LREH⟩⟨LRIH⟩⟨LRQH⟩
懭	~⟨HLK⟩⟨HLRB⟩
懮	~⟨HTDP⟩⟨HTMP⟩⟨HYX^V⟩
懯	~⟨AJNH⟩⟨IFPH⟩
懰	~⟨HDDR⟩⟨HOAR⟩
懱	~⟨HRFA⟩⟨HRFB⟩⟨HRFE⟩⟨HRFV⟩
懲	~⟨KH⟩⟨MIEH⟩⟨MIKH⟩
懳	~⟨HFFH⟩⟨HHHH⟩
懴	~⟨HJAE⟩
懵	~⟨HRFM⟩
懶	~⟨HBV⟩⟨HJCB⟩⟨HJCT⟩⟨HVSB⟩⟨HVST⟩
懷	~⟨HK⟩⟨HBA⟩⟨HLFK⟩⟨HJFK^V⟩
懸	~⟨MUH⟩⟨MBEH⟩⟨MBPH⟩⟨MESH⟩⟨MLSH⟩⟨MSPH⟩
懹	~⟨HLN^V⟩⟨HLOK^R⟩
懺	~⟨HGJ⟩⟨HBBE⟩
懻	~⟨HFFB⟩
懼	~⟨QV⟩⟨HMEB⟩⟨HMMV⟩⟨HV^V⟩
懽	~⟨HRE⟩⟨HROV⟩
懾	~⟨HRRR⟩⟨HRUU⟩
懿	~⟨YNDH⟩
戀	~⟨LFH⟩⟨ISSH⟩⟨SISH⟩
戁	~⟨UVH⟩⟨RCVH⟩
戂	~⟨HLTS⟩
戃	~⟨HSNF⟩
戄	~⟨HMMU⟩
戅	~⟨LDJH^V⟩
戆	~⟨LDJH⟩
戇	~⟨LDJH⟩
戈	~⟨AQX⟩
戉	~⟨AQI^V⟩
戊	~⟨AQP⟩
戋	~⟨AQAQ⟩⟨KX^V⟩
戌	~⟨AQV⟩⟨AQPE⟩
戍	~⟨AQB⟩⟨AQPA⟩
戎	~⟨AQJ⟩⟨AQX^V⟩
戏	~⟨ZQ⟩⟨UAQ⟩⟨ZDAQ⟩⟨ZFEQ⟩⟨UAQ^V⟩
成	~⟨AY⟩⟨AQN⟩⟨AQPY⟩
我	~⟨IX⟩
戒	~⟨AQR⟩
戓	~⟨AQO^S⟩
戔	~⟨AQAQ⟩⟨KX^V⟩
戕	~⟨GAQ⟩
或	~⟨HE⟩⟨AQOE⟩
戗	~⟨ADOQ⟩
战	~⟨OQ⟩⟨OAQ⟩⟨BQJQ⟩⟨OOQQ⟩⟨ZOAQ⟩⟨ZOAQ^V⟩
戙	~⟨NEOQ^S⟩
戚	~⟨AS⟩⟨AQPS⟩⟨AQPH^V⟩
戛	~⟨TMAQ⟩
戜	~⟨AQOK⟩
戞	~⟨TDNQ⟩⟨TMNQ⟩
戟	~⟨JDJQ⟩
戠	~⟨LDAQ⟩
戡	~⟨KAQ⟩⟨KQV⟩⟨KLBQ⟩⟨KLRQ⟩⟨KRLQ⟩
戢	~⟨ORAQ⟩
戣	~⟨JEDQ⟩⟨JGNQ⟩
戤	~⟨RUFQ⟩⟨WPFQ⟩
戥	~⟨DSAQ⟩
戧	~⟨ADOQ⟩
戨	~⟨TOTQ⟩
戩	~⟨EFEQ⟩⟨EUUQ⟩⟨ODAQ⟩
截	~⟨JVV⟩⟨JAQV⟩
戫	~⟨XHE⟩⟨XUH⟩⟨XAQE⟩⟨XUAE⟩
戬	~⟨EFEQ⟩⟨EUUQ⟩⟨ODAQ⟩
戭	~⟨NAQ⟩⟨NEQQ⟩
戮	~⟨EEBQ⟩⟨EMAQ⟩
戯	~⟨ZFEQ^V⟩
戰	~⟨OQ⟩⟨OAQ⟩⟨BQJQ⟩⟨OOQQ⟩⟨ZOAQ⟩
戱	~⟨ZFEQ^R⟩
戲	~⟨ZQ⟩⟨UAQ⟩⟨ZDAQ⟩⟨ZFEQ⟩
戳	~⟨EEVQ⟩
戴	~⟨JB⟩⟨JAQB⟩
戵	~⟨MMVQ⟩
戶	~⟨FP⟩
户	~⟨FP⟩⟨FP^V⟩
戸	~⟨FP^R⟩
戹	~⟨FZL⟩⟨FZZ⟩
戺	~⟨FOL⟩
戻	~⟨FDN^V⟩
戼	~⟨YFLF⟩⟨OI^V⟩⟨RFF^S⟩⟨YFF^R⟩
戽	~⟨FDJ⟩
戾	~⟨FAD⟩
房	~⟨FFY⟩
所	~⟨FKI⟩
扁	~⟨FMJ⟩
扂	~⟨FZO⟩
扃	~⟨FNO^V⟩
扄	~⟨FPNO⟩
扅	~⟨FCC⟩
扆	~⟨FLK⟩
扇	~⟨FEE⟩
扈	~⟨FOC⟩⟨FOCL⟩
扉	~⟨FRSS^R⟩
扊	~⟨FFF^V⟩
手	~⟨HJ⟩
扌	~⟨,JX^V⟩
才	~⟨UP⟩⟨SNOA⟩⟨SNOE⟩⟨UX^V⟩
扎	~⟨JLL⟩⟨TLS⟩
扏	~⟨JKX⟩⟨JKZ⟩⟨JKL^S⟩
扐	~⟨JDX⟩⟨JDY^V⟩
扑	~⟨JFB⟩⟨JPA⟩⟨JVN⟩⟨JFED⟩
扒	~⟨JBN⟩⟨JBA^V⟩
打	~⟨JTI⟩
扔	~⟨JRP⟩
扖	~⟨JBP^V⟩
扗	~⟨JYE^R⟩
托	~⟨IGL⟩⟨JGL⟩
扙	~⟨JQX^V⟩
扚	~⟨JNA⟩
扛	~⟨JIE⟩
扜	~⟨JUJ⟩
扝	~⟨JRK^V⟩
扞	~⟨JGJ⟩
扟	~⟨JZJ⟩
扠	~⟨JUA^V⟩
扡	~⟨JAL^V⟩
扢	~⟨JVZ^V⟩
扣	~⟨JOV⟩⟨AOO^V⟩⟨JOO^V⟩
扤	~⟨JER^V⟩
扥	~⟨JQL⟩
扦	~⟨JGJ^V⟩
执	~⟨YZ⟩⟨JZA⟩⟨JZX⟩⟨YZA⟩⟨YZX⟩⟨YBGA⟩⟨YBGX⟩⟨YBGZ⟩⟨JKA^F⟩⟨JZX^V⟩⟨YKA^V⟩
扨	~⟨JDN⟩
扩	~⟨JLK⟩⟨JLRB⟩⟨JLP^V⟩⟨JLU^V⟩
扪	~⟨JMI⟩⟨JMY⟩
扫	~⟨JEJ⟩⟨JENN⟩⟨JEE^S⟩
扬	~⟨JEP⟩⟨JDEM⟩⟨JDVM⟩
扭	~⟨JEE⟩
扮	~⟨JBD⟩
扯	~⟨JZE⟩
扰	~⟨JYX⟩⟨JTDP⟩⟨JTMP⟩⟨JAK^V⟩
扱	~⟨JRN⟩⟨JPU^V⟩
扲	~⟨JAY⟩
扳	~⟨JLU⟩
扴	~⟨JBR⟩
扵	~⟨JBB⟩
扶	~⟨JQN⟩
扷	~⟨JGN^R⟩⟨JPD^V⟩
扸	~⟨JPI⟩⟨JPY⟩
批	~⟨JBL⟩
扺	~⟨JXX⟩
扻	~⟨JIN⟩
扼	~⟨JLP⟩
扽	~⟨JEL^V⟩
找	~⟨JAQ⟩
承	~⟨WSJ⟩⟨WSBB⟩
技	~⟨JJU⟩
抁	~⟨JUR^V⟩
抂	~⟨JKE^R⟩
抃	~⟨JLP^R⟩
抄	~⟨JSP⟩
抅	~⟨JNU⟩
抆	~⟨JWX⟩
抇	~⟨JDO^V⟩
抈	~⟨JUE^V⟩
抉	~⟨JJV⟩⟨JJN^V⟩
把	~⟨JCL⟩
抋	~⟨JHA^R⟩
抌	~⟨JKL^V⟩
抍	~⟨JXJ^V⟩
抎	~⟨JTA^V⟩
抏	~⟨JRR⟩
抐	~⟨JNB^V⟩
抑	~⟨JFP⟩
抒	~⟨JUI⟩
抓	~⟨JEI⟩⟨JEN⟩
抔	~⟨JBA^R⟩
投	~⟨JRU⟩
抖	~⟨JDJ⟩
抗	~⟨JLR⟩
折	~⟨JKI⟩⟨JEED⟩
抙	~⟨JHJ⟩
抚	~⟨JF⟩⟨JEK⟩⟨JVFF⟩⟨JGL^V⟩
抛	~⟨JKD⟩⟨JKD^R⟩
抜	~⟨JXU⟩
抝	~⟨JWY⟩
択	~⟨JCN^R⟩
抟	~⟨JXA⟩⟨JCUA⟩⟨JJQA⟩⟨JQA^V⟩
抠	~⟨JFOO⟩⟨JFX^V⟩
抡	~⟨JAM⟩
抢	~⟨JO⟩⟨JBP⟩⟨JADO⟩
抣	~⟨JNB^R⟩⟨JNR^V⟩
护	~⟨IU⟩⟨IRVU⟩⟨RIVU⟩⟨JFP^V⟩
报	~⟨YU⟩⟨JPU⟩⟨YPU⟩⟨YBGU⟩⟨JPU^R⟩
抦	~⟨JENB⟩⟨JTNB⟩⟨JEN^V⟩
抧	~⟨JOB⟩
抨	~⟨JPJ⟩
抩	~⟨JNY⟩
抪	~⟨JXN⟩
披	~⟨JPX⟩
抬	~⟨JUO⟩
抭	~⟨JNR⟩
抮	~⟨JBM⟩
抯	~⟨JME^V⟩
抰	~⟨JCN^V⟩
抱	~⟨JNL⟩⟨JNFL⟩⟨JNOL⟩
抲	~⟨JTO⟩
抳	~⟨JCF⟩
抴	~⟨JSL⟩
抵	~⟨JXE⟩
抶	~⟨JSN⟩
抸	~⟨JBZ⟩⟨JPZ⟩⟨JPAZ⟩
抹	~⟨JYS⟩⟨JQB^V⟩
抺	~⟨JQB^R⟩⟨JYS^V⟩
抻	~⟨JII⟩⟨JIQI⟩
押	~⟨JQI⟩
抽	~⟨JIQ⟩
抾	~⟨JYU⟩
抿	~⟨JOX⟩
拁	~⟨JDO^R⟩
拂	~⟨JVJ⟩
拃	~⟨JVF^V⟩
拄	~⟨JAK⟩
担	~⟨JVO⟩⟨JNLI⟩⟨JDE^S⟩⟨JNBI^V⟩
拆	~⟨JKA⟩
拇	~⟨JOM⟩
拈	~⟨JZO⟩
拉	~⟨JLE⟩
拊	~⟨JPA^R⟩
拋	~⟨JKD⟩
拌	~⟨JBJ⟩
拍	~⟨JPD⟩
拎	~⟨JAP⟩⟨JAT⟩
拏	~⟨GUH^V⟩
拐	~⟨JOD⟩⟨JON⟩⟨TOD⟩⟨TON⟩
拑	~⟨JGO^V⟩
拒	~⟨JFF⟩
拓	~⟨JLO⟩
拔	~⟨JAX⟩⟨JAXU⟩⟨JAXX⟩
拕	~⟨JNF^V⟩
拖	~⟨JVA⟩
拗	~⟨JWD⟩
拘	~⟨JNO⟩
拙	~⟨JEU⟩⟨JEE^R⟩
拚	~⟨JUR⟩
招	~⟨JDO⟩
拜	~⟨HFJ⟩
拝	~⟨JFJ⟩
拞	~⟨JKE^V⟩⟨JPO^V⟩
拟	~⟨JZ⟩⟨JUA⟩⟨JUB⟩⟨JFVZ⟩⟨JUA^S⟩⟨JUB^V⟩
拠	~⟨JPR^V⟩
拡	~⟨JLU^R⟩
拢	~⟨JAL⟩⟨JAKP⟩⟨JKAP⟩⟨JLUL⟩
拣	~⟨JJQS⟩⟨JS^V⟩⟨JCS^V⟩
拤	~⟨JFP^R⟩
拥	~⟨JV⟩⟨JNQ⟩⟨JLWV⟩
拦	~⟨JBS⟩⟨JMN⟩⟨JMCS⟩⟨JMJS⟩
拧	~⟨JNT⟩⟨JNHT⟩
拨	~⟨JFX⟩⟨JJK⟩⟨JJQU⟩⟨JAXU^V⟩
择	~⟨JCN⟩⟨JFY⟩⟨JFYG⟩⟨JUQ^V⟩
拪	~⟨JCO⟩
拫	~⟨JDK⟩
括	~⟨JGO⟩
拭	~⟨JIV⟩⟨JAXI⟩
拮	~⟨JYO⟩
拯	~⟨JWE⟩
拰	~⟨JPK⟩
拱	~⟨JRB⟩
拲	~⟨RBH^R⟩
拳	~⟨BNH⟩
拴	~⟨JBK^V⟩
拵	~⟨JXIZ⟩
拶	~⟨JSC⟩
拷	~⟨JRK⟩⟨JYPK⟩
拸	~⟨JCC⟩
拹	~⟨JDDD^V⟩
拺	~⟨JJN^S⟩⟨JJN^F⟩
拻	~⟨JLF⟩⟨JXF⟩
拼	~⟨JBK⟩
拽	~⟨JIX⟩⟨JQX⟩⟨JIQX⟩
拾	~⟨,DJ⟩⟨JAO⟩
拿	~⟨AOH⟩
挀	~⟨JLK^V⟩
持	~⟨JYA⟩
挂	~⟨JPV⟩⟨JYY⟩⟨JYYP⟩
挃	~⟨JPE⟩
挄	~⟨JSER⟩
挅	~⟨JRT⟩
挆	~⟨JRT^R⟩
指	~⟨JFD⟩
挈	~⟨FDH⟩⟨HDH⟩
按	~⟨JNG⟩
挊	~⟨JFF^R⟩
挋	~⟨JRE^V⟩
挌	~⟨JPO⟩
挍	~⟨JLX^V⟩
挎	~⟨JXK⟩⟨JDRK⟩
挏	~⟨JNEO⟩
挐	~⟨GOH^V⟩
挑	~⟨JRA⟩⟨JRBB⟩
挒	~⟨JDR^V⟩
挓	~⟨JNG^R⟩
挔	~⟨JLK^R⟩
挕	~⟨JRJ^V⟩
挖	~⟨JZV⟩⟨JNBZ⟩⟨JNRZ⟩
挗	~⟨JJQB⟩⟨JEN^R⟩
挘	~⟨JSD⟩
挙	~⟨SEBH⟩⟨EHJ^V⟩
挚	~⟨YH⟩⟨JZH⟩⟨YZH⟩⟨YBGH⟩
挛	~⟨LFH^S⟩⟨ISSH^V⟩⟨SISH^V⟩
挜	~⟨JOE⟩
挝	~⟨JAW⟩⟨JQOW⟩
挞	~⟨JDW⟩⟨JYW⟩⟨JYBW⟩
挟	~⟨JGN⟩⟨JGN^S⟩
挠	~⟨JYR⟩⟨JQER⟩⟨JYYR⟩
挡	~⟨JSE⟩⟨JSO⟩⟨JSNQ⟩⟨JSE^V⟩⟨JSO^R⟩
挢	~⟨JGNO⟩⟨JPDO⟩⟨JGI^R⟩⟨JGO^R⟩
挣	~⟨JEE^V⟩⟨JNE^V⟩
挤	~⟨JWH⟩⟨JWR⟩
挥	~⟨JNC⟩
挦	~⟨JEIA⟩⟨JEA^V⟩
挨	~⟨JAN⟩⟨JLYY⟩⟨JUVD⟩
挩	~⟨JBOR⟩
挪	~⟨JEB⟩
挫	~⟨JY⟩⟨JBBY⟩
挬	~⟨JJNZ⟩
挭	~⟨JTQX⟩⟨JTX^V⟩
挮	~⟨JTP⟩⟨JBQP⟩
振	~⟨JFK⟩
挰	~⟨JOK⟩
挱	~⟨JWS^V⟩
挲	~⟨JWS⟩⟨WSH⟩
挳	~⟨JSI⟩⟨JUY⟩⟨JESI⟩
挴	~⟨JVOM⟩
挵	~⟨JKR⟩
挶	~⟨JCYO⟩⟨JONO⟩
挷	~⟨JFB^R⟩
挸	~⟨JMR⟩
挹	~⟨JOC⟩⟨JOCL⟩
挺	~⟨JW⟩⟨JKW^V⟩
挻	~⟨JPZW⟩
挼	~⟨JEG^V⟩
挽	~⟨CEL⟩⟨JEL⟩⟨CDCR⟩⟨CNCR⟩⟨JDCR⟩⟨JNCR⟩
挾	~⟨JGN⟩
挿	~⟨JGQI⟩⟨JGG^V⟩⟨JGI^F⟩⟨JGQ^V⟩
捀	~⟨JPF⟩
捁	~⟨JSO^V⟩
捂	~⟨JWO⟩
捃	~⟨JEO⟩
捄	~⟨JAJW⟩⟨JNA^V⟩
捅	~⟨JTJ⟩⟨JTNQ⟩
捆	~⟨JOT⟩⟨SOT⟩
捇	~⟨JYF⟩
捈	~⟨JBH⟩
捉	~⟨JOZ⟩
捊	~⟨JEZ^V⟩
捋	~⟨JEA⟩⟨JUA^R⟩
捌	~⟨,DB⟩⟨JODR⟩⟨JONR⟩
捍	~⟨JDG⟩
捎	~⟨JSU⟩
捏	~⟨JDY⟩⟨JGI⟩⟨JGY⟩
捐	~⟨JOU⟩
捑	~⟨JDKD⟩⟨JDVD⟩⟨JMAD⟩
捒	~⟨JVS⟩⟨JJCS⟩
捓	~⟨JXB⟩⟨JYB⟩
捔	~⟨JNE^R⟩
捕	~⟨JIJ⟩⟨JAJQ⟩
捖	~⟨JNRR⟩
捗	~⟨JZS⟩
捘	~⟨JHX⟩⟨JUBP⟩⟨JURP⟩
捙	~⟨JCJ⟩
捚	~⟨JQE⟩
捛	~⟨JOPO⟩
捜	~⟨JIU⟩⟨JIGU⟩⟨JIQU⟩
捝	~⟨JBOR⟩⟨JBOR^V⟩
捞	~⟨JFFD⟩⟨JRND⟩⟨JSND⟩
损	~⟨JM⟩⟨JOMB⟩
捠	~⟨JKEB⟩⟨JPOB^V⟩
捡	~⟨JAC⟩⟨JAE⟩⟨JOA⟩⟨JAOB⟩⟨JASE⟩
换	~⟨JD⟩⟨JNFB⟩⟨JNND⟩⟨JNOB⟩⟨JNC^V⟩
捣	~⟨JNE⟩⟨JYYA⟩⟨JFA^V⟩
捤	~⟨JCM⟩
捥	~⟨JNCP⟩
捦	~⟨JAE^V⟩
捧	~⟨JFNQ⟩
捨	~⟨JBO⟩⟨JBGO⟩⟨JBYO⟩
捩	~⟨JFAD⟩⟨JFD^V⟩
捪	~⟨JXD⟩
捫	~⟨JMI⟩⟨JMY⟩
捬	~⟨JLPA⟩
捭	~⟨JPG⟩⟨JPQG⟩
据	~⟨JZN⟩⟨JCJO⟩⟨JZEQ⟩⟨JCJO^V⟩
捯	~⟨JPR⟩
捰	~⟨JQT⟩
捱	~⟨JLYY⟩
捲	~⟨JPL⟩⟨JBNL⟩⟨JBNP⟩
捳	~⟨JKE⟩⟨JKEE⟩⟨JPOE⟩
捴	~⟨JBUH⟩
捵	~⟨JROB⟩⟨JFB^V⟩
捶	~⟨JGE⟩⟨JGJY⟩⟨JGRY⟩
捷	~⟨CZ⟩⟨JJZ⟩⟨JJEZ⟩⟨JZEZ⟩
捸	~⟨JEW⟩
捹	~⟨JDJR⟩
捺	~⟨JDRS⟩
捻	~⟨JAYH⟩
捼	~⟨JHG⟩
捽	~⟨JJJ^R⟩
捾	~⟨JNB⟩
捿	~⟨JJG⟩⟨JJEG⟩
掀	~⟨IZ⟩⟨JKI^R⟩
掁	~⟨JEK^V⟩
掂	~⟨JLZO⟩
掃	~⟨JEJ⟩⟨JENN⟩⟨JEE^S⟩
掄	~⟨JAM⟩
掅	~⟨JHU⟩
掆	~⟨JNBE^V⟩
掇	~⟨JUUU⟩
授	~⟨KG⟩⟨JENU⟩
掉	~⟨JQJ⟩⟨JZDJ⟩
掊	~⟨JLO^V⟩
掋	~⟨JLXE⟩
掌	~⟨SHV⟩⟨SNOH⟩
掎	~⟨JDTO⟩⟨JVO^V⟩
掏	~⟨JNI⟩⟨JNWU⟩
掐	~⟨JG^V⟩⟨JDG^V⟩⟨JNG^V⟩
掑	~⟨JKB⟩
排	~⟨JS⟩⟨JRSS⟩
掓	~⟨JFSU⟩
掔	~⟨RUH⟩
掕	~⟨JYBP⟩⟨JYRP⟩⟨JYX^V⟩
掖	~⟨JLX⟩⟨JLPU⟩
掗	~⟨JOE⟩
掘	~⟨JCEE⟩⟨JCEU⟩
掙	~⟨JEE^V⟩⟨JNE^V⟩
掚	~⟨JEB^R⟩⟨JENB^V⟩⟨JTNB^V⟩
掛	~⟨JPV⟩⟨JYYP⟩⟨JYY^V⟩
掜	~⟨JGR⟩
掝	~⟨JHE⟩⟨JAQE⟩
掞	~⟨JFF^V⟩
掟	~⟨JNEZ⟩⟨JNZ^V⟩
掠	~⟨JLS⟩⟨JLOS⟩
採	~⟨JET⟩⟨ETN^V⟩⟨JMN^V⟩
探	~⟨JNN⟩⟨JNBT⟩⟨JNRT⟩
掣	~⟨SNRH⟩
掤	~⟨JUU^V⟩
接	~⟨JLG⟩
掦	~⟨JDNM⟩⟨JEP^V⟩
控	~⟨JI⟩⟨JNBI⟩⟨JNRI⟩
推	~⟨JVE⟩
掩	~⟨JXL⟩⟨JDIL⟩⟨JDQL⟩
措	~⟨JRD⟩
掫	~⟨JRU^R⟩
掬	~⟨JNM⟩
掭	~⟨JGNF⟩⟨JGNH⟩⟨JPDF⟩⟨JPDH⟩
掮	~⟨JFU^V⟩
掯	~⟨JZU^V⟩
掰	~⟨HBDH⟩
掱	~⟨HHH^V⟩
掲	~⟨JDNF⟩⟨JDL^R⟩
掳	~⟨JZQD⟩⟨JZD^V⟩
掴	~⟨JOH⟩⟨JOAE⟩⟨JOKA⟩
掵	~⟨JAOP⟩
掶	~⟨JLEB⟩⟨JLEN⟩
掷	~⟨JGB⟩⟨JBEB⟩⟨JBGB⟩
掸	~⟨JOJ⟩⟨JBQJ⟩⟨JOOJ⟩
掹	~⟨JZF^V⟩
掺	~⟨JUM⟩⟨JUDM⟩⟨JUUM⟩⟨JUM^V⟩⟨JUDM^V⟩⟨JUUM^V⟩
掼	~⟨JOXB⟩⟨JOA^V⟩⟨JOMB^V⟩
掽	~⟨JBE⟩⟨JBO^V⟩⟨JBEE^V⟩
掾	~⟨JCEQ⟩
掿	~⟨JRXO⟩⟨JRO^V⟩
揀	~⟨JJQS⟩⟨JS^V⟩⟨JCS^V⟩
揁	~⟨JZMB^V⟩
揂	~⟨JBE^V⟩
揃	~⟨JBI⟩⟨JBER⟩
揄	~⟨JAUR⟩⟨JAI^V⟩
揅	~⟨LOKH⟩
揆	~⟨JKN⟩⟨JJED⟩⟨JJGN⟩
揇	~⟨JJNG⟩
揈	~⟨JNI^R⟩
揉	~⟨JMT⟩
揊	~⟨JEOQ⟩
揋	~⟨JQK⟩
揌	~⟨JQH^V⟩
揍	~⟨JFN⟩⟨JFND⟩⟨JFNN⟩
揎	~⟨JNEE⟩⟨JNE^S⟩
描	~⟨JRQ⟩
提	~⟨JJN⟩⟨JDEZ⟩
揑	~⟨JGI^S⟩⟨JGY^R⟩
插	~⟨JGG⟩
揓	~⟨JFVA⟩
揔	~⟨JNQH⟩
揕	~⟨JKBL⟩⟨JKLB⟩⟨JKRL⟩⟨JKL^R⟩
揖	~⟨JOR^V⟩
揗	~⟨JKM⟩⟨JXM⟩
揘	~⟨JPDK⟩
揙	~⟨JFM⟩
揚	~⟨JEP⟩⟨JDEM⟩⟨JDVM⟩
換	~⟨JD⟩⟨JNFB⟩⟨JNND⟩⟨JNOB⟩⟨JNC^V⟩
揜	~⟨JAOR⟩
揝	~⟨JPBD⟩⟨JPPD⟩
揞	~⟨JLD⟩
揟	~⟨JFBU⟩⟨JYZU⟩
揠	~⟨JFDG⟩
握	~⟨JCP⟩
揢	~⟨JNPO⟩
揣	~⟨JDI⟩⟨JER⟩⟨JETR⟩
揤	~⟨JDUP⟩⟨JGI^V⟩
揥	~⟨JLNN⟩
揦	~⟨JJCR⟩⟨JVSR⟩
揧	~⟨JRH⟩⟨JCSH⟩⟨JNSH⟩⟨VSRH⟩
揨	~⟨JLHT⟩⟨JLNT⟩⟨JLOT⟩
揩	~⟨JBPD⟩
揪	~⟨JHF⟩
揫	~⟨HFH^V⟩
揬	~⟨JNRD⟩⟨JNBD^R⟩
揭	~⟨JDL⟩⟨JDNL⟩
揮	~⟨JNC⟩
揯	~⟨JHDE⟩
揰	~⟨JGQ⟩
揱	~⟨SURH⟩
揲	~⟨JST⟩
揳	~⟨JFDD⟩⟨JHDD⟩
援	~⟨JEX⟩⟨JEGU⟩
揵	~⟨JEW^V⟩
揶	~⟨JRB^V⟩
揷	~⟨JGGI⟩⟨JGG^R⟩
揸	~⟨JTM⟩⟨JTDE⟩
揹	~⟨JFFU⟩
揻	~⟨JAQG⟩
揼	~⟨JLOW⟩
揽	~⟨JVL⟩⟨JRFR⟩⟨JRMR⟩⟨JRVR⟩
揾	~⟨JDF⟩⟨JOBF⟩⟨JDF^V⟩⟨JOBF^V⟩
揿	~⟨JAI⟩
搀	~⟨JNCB⟩⟨JNOA⟩⟨JNOE⟩⟨JEB^V⟩
搁	~⟨JMPO⟩
搂	~⟨JMG⟩
搃	~⟨JROH⟩⟨JBOH^V⟩
搄	~⟨JHDE⟩⟨JHEE⟩
搅	~⟨JSNR⟩
搆	~⟨JJE⟩⟨JJNY⟩
搇	~⟨JAYK⟩
搈	~⟨JNW⟩⟨JNBO⟩
搉	~⟨JNV⟩
搊	~⟨JNEE^V⟩
搋	~⟨JLZR⟩
搌	~⟨JCRK⟩
損	~⟨JM⟩⟨JOMB⟩
搎	~⟨JZES⟩⟨JZPS⟩
搏	~⟨JAV⟩⟨JIA^V⟩⟨JAJA^V⟩
搐	~⟨JLWQ⟩
搑	~⟨JRR^V⟩
搒	~⟨JLNF⟩⟨JGY^V⟩
搓	~⟨JBHI⟩⟨JBKI⟩
搔	~⟨JUC⟩⟨JUAC⟩⟨JUBC⟩
搕	~⟨JYUF⟩⟨JCE^V⟩
搖	~⟨JUU⟩⟨JEWU⟩⟨JUWU⟩
搗	~⟨JNE⟩
搘	~⟨JYPD⟩
搙	~⟨JFKA⟩
搚	~⟨JDDU⟩
搛	~⟨JQN^V⟩⟨JBEF^V⟩
搜	~⟨JGU⟩⟨RVA⟩⟨JGIU⟩⟨RPQU⟩⟨RPRU⟩⟨JIGU^V⟩
搝	~⟨JPMD⟩
搞	~⟨JQO⟩⟨JLHO⟩⟨JLOO⟩⟨JLNO^V⟩
搟	~⟨JCG⟩
搠	~⟨JBEU⟩
搡	~⟨JUUT⟩
搢	~⟨JEFD⟩⟨JEUD⟩
搣	~⟨JAQF⟩
搤	~⟨JYE⟩⟨JBEF⟩
搥	~⟨JPBW⟩
搦	~⟨JQBB⟩⟨JQMM⟩
搧	~⟨JFEE⟩
搨	~⟨JDEE⟩
搩	~⟨JCT^V⟩⟨JCST^V⟩
搪	~⟨JLEO⟩
搫	~⟨ZRUH⟩
搬	~⟨JU⟩⟨JZU⟩⟨JZRU⟩
搭	~⟨JRO⟩⟨JRAO⟩
搮	~⟨JCT⟩
搯	~⟨JEG^R⟩
搰	~⟨JQU⟩
搱	~⟨JCL^V⟩
搲	~⟨JNRG⟩⟨JNBG^V⟩
搳	~⟨JNFO⟩⟨JNHO⟩
搴	~⟨NJH⟩⟨NJBH⟩
搵	~⟨JDF⟩⟨JOBF⟩
搶	~⟨JO⟩⟨JBP⟩⟨JADO⟩
搷	~⟨JJMB⟩⟨JJB^V⟩
搸	~⟨JFNH⟩
搹	~⟨JEOT⟩
携	~⟨JVM⟩⟨JVR⟩⟨JVU⟩⟨JEVM⟩⟨JEVO⟩⟨JEVR⟩⟨JEVT⟩⟨JEVU⟩⟨JVR^V⟩
搻	~⟨AOHH⟩
搼	~⟨JBNH⟩
搽	~⟨JRBT⟩
搾	~⟨JNBE⟩⟨JNBF⟩⟨JNRE⟩⟨JNRF⟩
搿	~⟨HAOH⟩
摀	~⟨JWF⟩
摁	~⟨JODH⟩
